<Mach-1 File>
<INFO>
Date:	Wed, Feb 16, 2022
Time:	13:14:04.360
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-291.250000
Load Cell Calibration Date:	2022-02-16
Captured Images Folder:	04-i-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	-1.250630
0.030000	0.000000	-2.501259
0.040000	0.000000	-1.250630
0.050000	0.000000	-1.250630
0.060000	0.000000	-1.250630
0.070000	0.000000	-1.250630
0.080000	0.000000	-1.250630
0.090000	0.000000	-1.250630
0.100000	0.000000	-1.250630
0.110000	0.000000	-1.250630
0.120000	0.000000	-1.250630
0.130000	0.000000	-2.501259
0.140000	0.000000	-1.250630
0.150000	0.000000	-1.250630
0.160000	0.000000	-1.250630
0.170000	0.000000	0.000000
0.180000	0.000000	-1.250630
0.190000	0.000000	-1.250630
0.200000	0.000000	-1.250630
0.210000	-1.000000E-4	-1.250630
0.220000	-0.001300	-1.250630
0.230000	-0.003700	-1.250630
0.240000	-0.005600	-1.250630
0.250000	-0.006100	-1.250630
0.260000	-0.007100	-1.250630
0.270000	-0.008400	-2.501259
0.280000	-0.009400	-2.501259
0.290000	-0.010500	-1.250630
0.300000	-0.011500	-2.501259
0.310000	-0.012400	-2.501259
0.320000	-0.013600	-2.501259
0.330000	-0.014500	-1.250630
0.340000	-0.015400	-1.250630
0.350000	-0.016400	-1.250630
0.360000	-0.017600	-1.250630
0.370000	-0.018600	-2.501259
0.380000	-0.019500	-2.501259
0.390000	-0.020400	-1.250630
0.400000	-0.021300	-1.250630
0.410000	-0.022500	-1.250630
0.420000	-0.023600	-1.250630
0.430000	-0.024500	-2.501259
0.440000	-0.025400	-2.501259
0.450000	-0.026300	-2.501259
0.460000	-0.027300	-2.501259
0.470000	-0.028600	-2.501259
0.480000	-0.029700	-1.250630
0.490000	-0.030600	-2.501259
0.500000	-0.031600	-1.250630
0.510000	-0.032600	-1.250630
0.520000	-0.033600	-2.501259
0.530000	-0.034500	-2.501259
0.540000	-0.035400	-1.250630
0.550000	-0.036400	-1.250630
0.560000	-0.037500	-2.501259
0.570000	-0.038500	-2.501259
0.580000	-0.039400	-2.501259
0.590000	-0.040300	-2.501259
0.600000	-0.041400	-2.501259
0.610000	-0.042500	-2.501259
0.620000	-0.043500	-2.501259
0.630000	-0.044400	-2.501259
0.640000	-0.045400	-2.501259
0.650000	-0.046500	-2.501259
