<Mach-1 File>
<INFO>
Date:	Thu, Feb 17, 2022
Time:	10:40:15.398
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-297.500000
Load Cell Calibration Date:	2022-02-17
Captured Images Folder:	07-v-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	-1.250630
0.020000	0.000000	-1.250630
0.030000	0.000000	-1.250630
0.040000	0.000000	0.000000
0.050000	0.000000	0.000000
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	0.000000
0.100000	0.000000	0.000000
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	0.000000
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	-1.250630
0.180000	0.000000	-1.250630
0.190000	0.000000	0.000000
0.200000	0.000000	0.000000
0.210000	-0.000100	0.000000
0.220000	-0.000400	0.000000
0.230000	-0.001800	-1.250630
0.240000	-0.004600	-1.250630
0.250000	-0.006400	-1.250630
0.260000	-0.007100	0.000000
0.270000	-0.008100	0.000000
0.280000	-0.009000	0.000000
0.290000	-0.010500	0.000000
0.300000	-0.011500	0.000000
0.310000	-0.012000	0.000000
0.320000	-0.013100	0.000000
0.330000	-0.014800	0.000000
0.340000	-0.016100	-1.250630
0.350000	-0.016600	-1.250630
0.360000	-0.017400	-1.250630
0.370000	-0.018200	-1.250630
0.380000	-0.019100	-1.250630
0.390000	-0.020200	-1.250630
0.400000	-0.021300	-1.250630
0.410000	-0.022300	-1.250630
0.420000	-0.023300	-1.250630
0.430000	-0.024400	-1.250630
0.440000	-0.025400	-1.250630
0.450000	-0.026000	-1.250630
0.460000	-0.027400	-1.250630
0.470000	-0.028600	-1.250630
0.480000	-0.029400	-1.250630
0.490000	-0.030300	-1.250630
0.500000	-0.031300	-1.250630
0.510000	-0.032400	-1.250630
0.520000	-0.033400	-1.250630
0.530000	-0.034500	-1.250630
0.540000	-0.035500	-1.250630
0.550000	-0.036300	-1.250630
0.560000	-0.037300	-1.250630
0.570000	-0.038400	-1.250630
0.580000	-0.039400	-1.250630
0.590000	-0.040400	-1.250630
0.600000	-0.041300	-1.250630
0.610000	-0.042300	-1.250630
0.620000	-0.043200	-1.250630
0.630000	-0.044200	-2.501259
0.640000	-0.045300	-1.250630
0.650000	-0.046400	-1.250630
0.660000	-0.047400	-1.250630
0.670000	-0.048300	-2.501259
0.680000	-0.049300	-2.501259
0.690000	-0.050400	-2.501259
0.700000	-0.051300	-2.501259
0.710000	-0.052200	-2.501259
0.720000	-0.053400	-2.501259
0.730000	-0.054400	-2.501259
0.740000	-0.055400	-2.501259
0.750000	-0.056300	-2.501259
0.760000	-0.057200	-2.501259
0.770000	-0.058300	-2.501259
0.780000	-0.059300	-2.501259
0.790000	-0.060400	-2.501259
0.800000	-0.061300	-2.501259
0.810000	-0.062300	-3.751889
0.820000	-0.063300	-2.501259
0.830000	-0.064300	-2.501259
0.840000	-0.065300	-2.501259
0.850000	-0.066400	-2.501259
0.860000	-0.067300	-2.501259
0.870000	-0.068300	-2.501259
0.880000	-0.069200	-2.501259
0.890000	-0.070400	-1.250630
0.900000	-0.071500	-2.501259
0.910000	-0.072200	-2.501259
0.920000	-0.073100	-3.751889
0.930000	-0.074300	-2.501259
0.940000	-0.075400	-2.501259
0.950000	-0.076500	-2.501259
0.960000	-0.077400	-2.501259
0.970000	-0.078300	-2.501259
0.980000	-0.079100	-2.501259
0.990000	-0.080200	-2.501259
1.000000	-0.081400	-2.501259
1.010000	-0.082200	-2.501259
1.020000	-0.083300	-3.751889
1.030000	-0.084400	-3.751889
1.040000	-0.085400	-3.751889
1.050000	-0.086400	-2.501259
1.060000	-0.087300	-2.501259
1.070000	-0.088600	-2.501259
1.080000	-0.089200	-3.751889
1.090000	-0.090100	-2.501259
1.100000	-0.091200	-2.501259
1.110000	-0.092500	-2.501259
1.120000	-0.093300	-2.501259
1.130000	-0.094300	-2.501259
1.140000	-0.095600	-2.501259
1.150000	-0.096200	-2.501259
1.160000	-0.097100	-2.501259
1.170000	-0.098200	-2.501259
1.180000	-0.099300	-2.501259
1.190000	-0.100700	-2.501259
1.200000	-0.101300	-2.501259
1.210000	-0.102300	-2.501259
1.220000	-0.103200	-2.501259
1.230000	-0.104400	-2.501259
1.240000	-0.105600	-3.751889
1.250000	-0.106300	-3.751889
1.260000	-0.107400	-3.751889
1.270000	-0.108400	-3.751889
1.280000	-0.109200	-3.751889
1.290000	-0.110100	-3.751889
1.300000	-0.111400	-3.751889
1.310000	-0.112400	-3.751889
1.320000	-0.113100	-5.002519
1.330000	-0.114100	-5.002519
1.340000	-0.115300	-3.751889
1.350000	-0.116300	-3.751889
1.360000	-0.117500	-3.751889
1.370000	-0.118500	-3.751889
1.380000	-0.119200	-3.751889
1.390000	-0.120200	-3.751889
1.400000	-0.121300	-5.002519
1.410000	-0.122800	-5.002519
1.420000	-0.123600	-3.751889
1.430000	-0.124400	-3.751889
1.440000	-0.125400	-3.751889
1.450000	-0.126200	-3.751889
1.460000	-0.127300	-3.751889
1.470000	-0.128200	-3.751889
1.480000	-0.129200	-3.751889
1.490000	-0.130300	-3.751889
1.500000	-0.131100	-3.751889
1.510000	-0.132200	-3.751889
1.520000	-0.133200	-3.751889
1.530000	-0.134600	-3.751889
1.540000	-0.135500	-3.751889
1.550000	-0.136200	-3.751889
1.560000	-0.137100	-3.751889
1.570000	-0.138000	-5.002519
1.580000	-0.139300	-5.002519
1.590000	-0.140300	-3.751889
1.600000	-0.141600	-3.751889
1.610000	-0.142400	-3.751889
1.620000	-0.143600	-3.751889
1.630000	-0.144400	-3.751889
1.640000	-0.145300	-5.002519
1.650000	-0.146400	-5.002519
1.660000	-0.147000	-5.002519
1.670000	-0.148100	-5.002519
1.680000	-0.149200	-5.002519
1.690000	-0.150400	-5.002519
1.700000	-0.151100	-5.002519
1.710000	-0.152100	-5.002519
1.720000	-0.153300	-5.002519
1.730000	-0.154300	-5.002519
1.740000	-0.155500	-5.002519
1.750000	-0.156600	-5.002519
1.760000	-0.157400	-5.002519
1.770000	-0.158300	-5.002519
1.780000	-0.159100	-6.253149
1.790000	-0.160200	-5.002519
1.800000	-0.161600	-6.253149
1.810000	-0.162700	-5.002519
1.820000	-0.163300	-5.002519
1.830000	-0.164200	-5.002519
1.840000	-0.165200	-5.002519
1.850000	-0.166200	-5.002519
1.860000	-0.167200	-5.002519
1.870000	-0.168200	-5.002519
1.880000	-0.169100	-5.002519
1.890000	-0.170200	-5.002519
1.900000	-0.171600	-5.002519
1.910000	-0.172400	-5.002519
1.920000	-0.173600	-6.253149
1.930000	-0.174400	-5.002519
1.940000	-0.175500	-5.002519
1.950000	-0.176400	-5.002519
1.960000	-0.177300	-5.002519
1.970000	-0.178200	-5.002519
1.980000	-0.179400	-5.002519
1.990000	-0.180400	-5.002519
2.000000	-0.181400	-5.002519
2.010000	-0.183000	-5.002519
2.020000	-0.183400	-5.002519
2.030000	-0.184200	-5.002519
2.040000	-0.185100	-5.002519
2.050000	-0.186200	-5.002519
2.060000	-0.186900	-5.002519
2.070000	-0.188100	-6.253149
2.080000	-0.189300	-6.253149
2.090000	-0.190300	-6.253149
2.100000	-0.191100	-6.253149
2.110000	-0.192300	-6.253149
2.120000	-0.193300	-6.253149
2.130000	-0.194200	-6.253149
