<Mach-1 File>
<INFO>
Date:	Thu, Feb 17, 2022
Time:	14:53:13.098
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-297.500000
Load Cell Calibration Date:	2022-02-17
Captured Images Folder:	08-s-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	-1.250630
0.030000	0.000000	-1.250630
0.040000	0.000000	0.000000
0.050000	0.000000	0.000000
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	-1.250630
0.100000	0.000000	0.000000
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	1.250630
0.140000	0.000000	1.250630
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	0.000000
0.180000	0.000000	1.250630
0.190000	0.000000	0.000000
0.200000	0.000000	0.000000
0.210000	0.000000	0.000000
0.220000	-0.000500	0.000000
0.230000	-0.002500	0.000000
0.240000	-0.005100	0.000000
0.250000	-0.005900	0.000000
0.260000	-0.006600	0.000000
0.270000	-0.007600	0.000000
0.280000	-0.008700	0.000000
0.290000	-0.009900	-1.250630
0.300000	-0.011000	-1.250630
0.310000	-0.011800	0.000000
0.320000	-0.012700	0.000000
0.330000	-0.013800	0.000000
0.340000	-0.014800	0.000000
0.350000	-0.015800	0.000000
0.360000	-0.016900	0.000000
0.370000	-0.017600	0.000000
0.380000	-0.019100	0.000000
0.390000	-0.020000	0.000000
0.400000	-0.020900	-1.250630
0.410000	-0.021800	-1.250630
0.420000	-0.022800	-1.250630
0.430000	-0.024000	-1.250630
0.440000	-0.024700	-1.250630
0.450000	-0.025600	-1.250630
0.460000	-0.027400	-1.250630
0.470000	-0.028500	-1.250630
0.480000	-0.029000	-1.250630
0.490000	-0.029800	-1.250630
0.500000	-0.030800	-1.250630
0.510000	-0.031700	-1.250630
0.520000	-0.032500	-1.250630
0.530000	-0.034300	-1.250630
0.540000	-0.035200	-1.250630
0.550000	-0.035900	-1.250630
0.560000	-0.036800	-1.250630
0.570000	-0.037800	-2.501259
0.580000	-0.038900	-2.501259
0.590000	-0.040000	-1.250630
0.600000	-0.041200	-1.250630
0.610000	-0.042100	-2.501259
0.620000	-0.042800	-1.250630
0.630000	-0.043700	-1.250630
0.640000	-0.045000	-1.250630
0.650000	-0.045800	-1.250630
0.660000	-0.046900	-1.250630
0.670000	-0.047900	-1.250630
