<Mach-1 File>
<INFO>
Date:	Wed, Feb 16, 2022
Time:	11:16:40.260
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-291.250000
Load Cell Calibration Date:	2022-02-16
Captured Images Folder:	04-v-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	0.000000
0.030000	0.000000	0.000000
0.040000	0.000000	1.250630
0.050000	0.000000	1.250630
0.060000	0.000000	1.250630
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	0.000000
0.100000	0.000000	1.250630
0.110000	0.000000	1.250630
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	1.250630
0.150000	0.000000	1.250630
0.160000	0.000000	0.000000
0.170000	0.000000	0.000000
0.180000	0.000000	0.000000
0.190000	0.000000	0.000000
0.200000	0.000000	1.250630
0.210000	0.000000	1.250630
0.220000	-0.000200	0.000000
0.230000	-0.001600	0.000000
0.240000	-0.004400	0.000000
0.250000	-0.005700	0.000000
0.260000	-0.006700	0.000000
0.270000	-0.007800	0.000000
0.280000	-0.009000	0.000000
0.290000	-0.010100	0.000000
0.300000	-0.011100	0.000000
0.310000	-0.012100	0.000000
0.320000	-0.013100	0.000000
0.330000	-0.014200	0.000000
0.340000	-0.015100	0.000000
0.350000	-0.016000	0.000000
0.360000	-0.017100	0.000000
0.370000	-0.018200	0.000000
0.380000	-0.019100	0.000000
0.390000	-0.020000	0.000000
0.400000	-0.021000	-1.250630
0.410000	-0.022000	-1.250630
0.420000	-0.022900	0.000000
0.430000	-0.023900	0.000000
0.440000	-0.025000	0.000000
0.450000	-0.025900	0.000000
0.460000	-0.027100	0.000000
0.470000	-0.028000	0.000000
0.480000	-0.029000	0.000000
0.490000	-0.030200	-1.250630
0.500000	-0.031300	0.000000
0.510000	-0.032000	0.000000
0.520000	-0.032900	0.000000
0.530000	-0.033900	0.000000
0.540000	-0.035200	0.000000
0.550000	-0.036300	0.000000
0.560000	-0.037200	0.000000
0.570000	-0.037900	0.000000
0.580000	-0.039000	-1.250630
0.590000	-0.040100	-1.250630
0.600000	-0.041200	-1.250630
0.610000	-0.042200	-1.250630
0.620000	-0.043100	0.000000
0.630000	-0.044200	0.000000
0.640000	-0.045000	0.000000
0.650000	-0.045900	0.000000
0.660000	-0.046900	0.000000
0.670000	-0.047900	-1.250630
0.680000	-0.049000	-1.250630
0.690000	-0.050400	0.000000
