<Mach-1 File>
<INFO>
Date:	Wed, Feb 16, 2022
Time:	16:14:30.860
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-291.250000
Load Cell Calibration Date:	2022-02-16
Captured Images Folder:	05-a-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	0.000000
0.030000	0.000000	0.000000
0.040000	0.000000	0.000000
0.050000	0.000000	0.000000
0.060000	0.000000	0.000000
0.070000	0.000000	-1.250630
0.080000	0.000000	-1.250630
0.090000	0.000000	0.000000
0.100000	0.000000	0.000000
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	-1.250630
0.140000	0.000000	0.000000
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	0.000000
0.180000	0.000000	0.000000
0.190000	0.000000	0.000000
0.200000	0.000000	0.000000
0.210000	0.000000	-1.250630
0.220000	-0.000100	-1.250630
0.230000	-0.000800	-1.250630
0.240000	-0.003200	0.000000
0.250000	-0.005500	0.000000
0.260000	-0.006500	0.000000
0.270000	-0.007300	-1.250630
0.280000	-0.008400	-1.250630
0.290000	-0.009800	-1.250630
0.300000	-0.010700	0.000000
0.310000	-0.011600	0.000000
0.320000	-0.012500	0.000000
0.330000	-0.013600	-1.250630
0.340000	-0.014600	0.000000
0.350000	-0.015500	0.000000
0.360000	-0.016600	-1.250630
0.370000	-0.017600	-1.250630
0.380000	-0.018600	-1.250630
0.390000	-0.019600	-1.250630
0.400000	-0.020500	-1.250630
0.410000	-0.021600	-1.250630
0.420000	-0.022600	-1.250630
0.430000	-0.023500	-1.250630
0.440000	-0.024400	-1.250630
0.450000	-0.025600	-1.250630
0.460000	-0.027000	0.000000
0.470000	-0.027800	0.000000
0.480000	-0.028600	0.000000
0.490000	-0.029500	-1.250630
0.500000	-0.030700	-1.250630
0.510000	-0.031800	0.000000
0.520000	-0.032400	0.000000
0.530000	-0.033500	0.000000
0.540000	-0.034800	0.000000
0.550000	-0.035800	-1.250630
0.560000	-0.036700	-1.250630
0.570000	-0.037700	-1.250630
0.580000	-0.038900	-1.250630
0.590000	-0.039800	-1.250630
0.600000	-0.040300	-1.250630
0.610000	-0.041400	-1.250630
0.620000	-0.042900	-1.250630
0.630000	-0.044100	-1.250630
0.640000	-0.044500	-1.250630
0.650000	-0.045100	-1.250630
0.660000	-0.046200	-1.250630
0.670000	-0.047900	-1.250630
