<Mach-1 File>
<INFO>
Date:	Wed, Feb 16, 2022
Time:	15:52:47.160
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-291.250000
Load Cell Calibration Date:	2022-02-16
Captured Images Folder:	05-s-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	1.250630
0.020000	0.000000	1.250630
0.030000	0.000000	1.250630
0.040000	0.000000	1.250630
0.050000	0.000000	1.250630
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	0.000000
0.100000	0.000000	0.000000
0.110000	0.000000	1.250630
0.120000	0.000000	1.250630
0.130000	0.000000	1.250630
0.140000	0.000000	0.000000
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	1.250630
0.180000	0.000000	1.250630
0.190000	0.000000	1.250630
0.200000	0.000000	0.000000
0.210000	-1.000000E-4	0.000000
0.220000	-0.000300	1.250630
0.230000	-0.001500	1.250630
0.240000	-0.004500	1.250630
0.250000	-0.005800	0.000000
0.260000	-0.006700	0.000000
0.270000	-0.007700	0.000000
0.280000	-0.008900	1.250630
0.290000	-0.010000	1.250630
0.300000	-0.010900	0.000000
0.310000	-0.012100	0.000000
0.320000	-0.012900	0.000000
0.330000	-0.013600	-1.250630
0.340000	-0.015000	0.000000
0.350000	-0.016200	0.000000
0.360000	-0.017100	1.250630
0.370000	-0.017900	1.250630
0.380000	-0.019100	0.000000
0.390000	-0.020200	0.000000
0.400000	-0.021100	0.000000
0.410000	-0.022100	0.000000
0.420000	-0.022900	0.000000
0.430000	-0.023900	0.000000
0.440000	-0.025100	0.000000
0.450000	-0.026200	0.000000
0.460000	-0.027100	0.000000
0.470000	-0.027900	0.000000
0.480000	-0.029000	0.000000
0.490000	-0.030100	0.000000
0.500000	-0.031100	0.000000
0.510000	-0.032000	0.000000
0.520000	-0.033200	0.000000
0.530000	-0.034300	0.000000
0.540000	-0.035300	-1.250630
0.550000	-0.036100	-1.250630
0.560000	-0.037100	-1.250630
0.570000	-0.038000	-1.250630
0.580000	-0.039000	-1.250630
0.590000	-0.040200	-1.250630
0.600000	-0.041200	0.000000
0.610000	-0.042400	0.000000
0.620000	-0.043100	0.000000
0.630000	-0.044200	-1.250630
0.640000	-0.045300	-1.250630
0.650000	-0.046000	-1.250630
0.660000	-0.046900	-1.250630
0.670000	-0.048000	-1.250630
0.680000	-0.049000	-1.250630
0.690000	-0.050200	-1.250630
0.700000	-0.051200	-1.250630
0.710000	-0.052200	-1.250630
0.720000	-0.053000	-1.250630
0.730000	-0.054000	-1.250630
0.740000	-0.055100	-1.250630
0.750000	-0.056100	-1.250630
0.760000	-0.057100	-1.250630
0.770000	-0.057900	-1.250630
0.780000	-0.058900	-1.250630
0.790000	-0.059900	-1.250630
0.800000	-0.061000	-1.250630
0.810000	-0.062100	-1.250630
0.820000	-0.063000	-1.250630
0.830000	-0.064000	-1.250630
0.840000	-0.065100	-1.250630
0.850000	-0.065900	-1.250630
0.860000	-0.067000	-1.250630
0.870000	-0.068000	-2.501259
0.880000	-0.068900	-2.501259
0.890000	-0.069900	-2.501259
0.900000	-0.071300	-1.250630
0.910000	-0.072300	-1.250630
0.920000	-0.073000	-1.250630
0.930000	-0.073900	-1.250630
0.940000	-0.074900	-2.501259
0.950000	-0.076000	-2.501259
0.960000	-0.077100	-1.250630
0.970000	-0.078100	-1.250630
0.980000	-0.079000	-1.250630
0.990000	-0.079800	-2.501259
1.000000	-0.081000	-2.501259
1.010000	-0.082000	-2.501259
1.020000	-0.083200	-2.501259
1.030000	-0.083900	-1.250630
1.040000	-0.085000	-1.250630
1.050000	-0.086000	-1.250630
1.060000	-0.086900	-1.250630
1.070000	-0.087900	-2.501259
1.080000	-0.089400	-2.501259
1.090000	-0.090100	-2.501259
1.100000	-0.091000	-2.501259
1.110000	-0.092200	-2.501259
1.120000	-0.093000	-2.501259
1.130000	-0.094000	-2.501259
1.140000	-0.095100	-2.501259
1.150000	-0.096100	-2.501259
1.160000	-0.097000	-2.501259
1.170000	-0.097900	-3.751889
1.180000	-0.099000	-3.751889
1.190000	-0.100100	-2.501259
1.200000	-0.101000	-2.501259
1.210000	-0.102100	-2.501259
1.220000	-0.103300	-2.501259
1.230000	-0.104200	-2.501259
1.240000	-0.105100	-2.501259
1.250000	-0.106100	-2.501259
1.260000	-0.106900	-2.501259
1.270000	-0.107900	-2.501259
1.280000	-0.109300	-3.751889
1.290000	-0.110000	-3.751889
1.300000	-0.111100	-3.751889
1.310000	-0.112100	-3.751889
1.320000	-0.112900	-3.751889
1.330000	-0.114100	-3.751889
1.340000	-0.115100	-3.751889
1.350000	-0.116100	-3.751889
1.360000	-0.117200	-3.751889
1.370000	-0.118300	-3.751889
1.380000	-0.119000	-3.751889
1.390000	-0.120000	-3.751889
1.400000	-0.121100	-3.751889
1.410000	-0.122000	-3.751889
1.420000	-0.123100	-3.751889
1.430000	-0.124000	-5.002519
1.440000	-0.125300	-5.002519
1.450000	-0.126100	-3.751889
1.460000	-0.127100	-3.751889
1.470000	-0.128100	-3.751889
1.480000	-0.129100	-3.751889
1.490000	-0.130100	-3.751889
1.500000	-0.131000	-3.751889
1.510000	-0.132000	-3.751889
1.520000	-0.133100	-3.751889
1.530000	-0.134000	-3.751889
1.540000	-0.135200	-3.751889
1.550000	-0.136100	-3.751889
1.560000	-0.136900	-3.751889
1.570000	-0.138000	-5.002519
1.580000	-0.139000	-5.002519
1.590000	-0.140100	-5.002519
1.600000	-0.141000	-3.751889
1.610000	-0.142100	-3.751889
1.620000	-0.143000	-3.751889
1.630000	-0.144000	-3.751889
1.640000	-0.144900	-3.751889
1.650000	-0.146000	-3.751889
1.660000	-0.147000	-2.501259
1.670000	-0.148100	-3.751889
1.680000	-0.149100	-3.751889
1.690000	-0.150100	-3.751889
1.700000	-0.151200	-3.751889
1.710000	-0.152100	-3.751889
1.720000	-0.153100	-3.751889
1.730000	-0.154200	-5.002519
1.740000	-0.155100	-5.002519
1.750000	-0.156000	-3.751889
1.760000	-0.157100	-3.751889
1.770000	-0.158000	-5.002519
1.780000	-0.159000	-5.002519
1.790000	-0.160000	-3.751889
1.800000	-0.160900	-3.751889
1.810000	-0.162200	-3.751889
1.820000	-0.163200	-3.751889
1.830000	-0.164200	-5.002519
1.840000	-0.165000	-5.002519
1.850000	-0.165900	-5.002519
1.860000	-0.167000	-5.002519
1.870000	-0.168000	-3.751889
1.880000	-0.169000	-5.002519
1.890000	-0.170000	-5.002519
1.900000	-0.171100	-5.002519
1.910000	-0.172000	-5.002519
1.920000	-0.173000	-5.002519
1.930000	-0.174200	-5.002519
1.940000	-0.175000	-5.002519
1.950000	-0.176000	-5.002519
1.960000	-0.176900	-5.002519
1.970000	-0.178100	-5.002519
1.980000	-0.179000	-6.253149
1.990000	-0.179900	-5.002519
2.000000	-0.181100	-5.002519
2.010000	-0.182100	-3.751889
2.020000	-0.183100	-3.751889
2.030000	-0.184100	-5.002519
2.040000	-0.185200	-5.002519
2.050000	-0.186200	-5.002519
2.060000	-0.187000	-5.002519
2.070000	-0.187900	-5.002519
2.080000	-0.189100	-5.002519
2.090000	-0.190100	-5.002519
2.100000	-0.191000	-5.002519
2.110000	-0.192100	-5.002519
2.120000	-0.193300	-5.002519
2.130000	-0.194200	-3.751889
2.140000	-0.195100	-3.751889
2.150000	-0.196000	-5.002519
