<Mach-1 File>
<INFO>
Date:	Thu, Feb 17, 2022
Time:	11:39:07.598
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-297.500000
Load Cell Calibration Date:	2022-02-17
Captured Images Folder:	07-a-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	-1.250630
0.030000	0.000000	-1.250630
0.040000	0.000000	-1.250630
0.050000	0.000000	-1.250630
0.060000	0.000000	0.000000
0.070000	0.000000	-1.250630
0.080000	0.000000	-1.250630
0.090000	0.000000	-1.250630
0.100000	0.000000	0.000000
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	-1.250630
0.150000	0.000000	-1.250630
0.160000	0.000000	0.000000
0.170000	0.000000	-1.250630
0.180000	0.000000	-1.250630
0.190000	0.000000	-1.250630
0.200000	0.000000	0.000000
0.210000	0.000000	0.000000
0.220000	-0.000600	0.000000
0.230000	-0.002600	-1.250630
0.240000	-0.005100	-1.250630
0.250000	-0.006000	-2.501259
0.260000	-0.007000	-2.501259
0.270000	-0.008200	-1.250630
0.280000	-0.009200	-1.250630
0.290000	-0.010200	0.000000
0.300000	-0.011200	-1.250630
0.310000	-0.012300	-1.250630
0.320000	-0.013400	-1.250630
0.330000	-0.014400	-1.250630
0.340000	-0.015400	-1.250630
0.350000	-0.016400	0.000000
0.360000	-0.017400	0.000000
0.370000	-0.018400	-1.250630
0.380000	-0.019300	-1.250630
0.390000	-0.020200	-1.250630
0.400000	-0.021200	-1.250630
0.410000	-0.022300	-1.250630
0.420000	-0.023200	-1.250630
0.430000	-0.024200	-1.250630
0.440000	-0.025200	-1.250630
0.450000	-0.026400	-1.250630
0.460000	-0.027400	-1.250630
0.470000	-0.028300	-1.250630
0.480000	-0.029300	-1.250630
0.490000	-0.030300	-1.250630
0.500000	-0.031400	-1.250630
0.510000	-0.032300	-1.250630
0.520000	-0.033200	-1.250630
0.530000	-0.034200	-1.250630
0.540000	-0.035200	-1.250630
0.550000	-0.036300	-1.250630
0.560000	-0.037300	-1.250630
0.570000	-0.038500	-1.250630
0.580000	-0.039300	-1.250630
0.590000	-0.040100	-1.250630
0.600000	-0.041200	-1.250630
0.610000	-0.042200	-1.250630
0.620000	-0.043200	-1.250630
0.630000	-0.044500	-1.250630
0.640000	-0.045400	-1.250630
0.650000	-0.046200	-1.250630
0.660000	-0.047200	-1.250630
