<Mach-1 File>
<INFO>
Date:	Thu, Feb 17, 2022
Time:	12:03:43.398
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-297.500000
Load Cell Calibration Date:	2022-02-17
Captured Images Folder:	07-i-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	-1.250630
0.030000	0.000000	-1.250630
0.040000	0.000000	-1.250630
0.050000	0.000000	-1.250630
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	-1.250630
0.100000	0.000000	0.000000
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	0.000000
0.150000	0.000000	-1.250630
0.160000	0.000000	-1.250630
0.170000	0.000000	0.000000
0.180000	0.000000	0.000000
0.190000	0.000000	0.000000
0.200000	0.000000	0.000000
0.210000	0.000000	0.000000
0.220000	-0.000200	0.000000
0.230000	-0.002000	0.000000
0.240000	-0.004700	-1.250630
0.250000	-0.006000	0.000000
0.260000	-0.006700	0.000000
0.270000	-0.008000	0.000000
0.280000	-0.009200	-1.250630
0.290000	-0.010200	-1.250630
0.300000	-0.011400	0.000000
0.310000	-0.012500	0.000000
0.320000	-0.013200	0.000000
0.330000	-0.014300	0.000000
0.340000	-0.015200	-1.250630
0.350000	-0.015900	-1.250630
0.360000	-0.016700	-1.250630
0.370000	-0.018000	0.000000
0.380000	-0.019400	0.000000
0.390000	-0.020300	0.000000
0.400000	-0.020900	-1.250630
0.410000	-0.022300	-1.250630
0.420000	-0.023500	-1.250630
0.430000	-0.024100	-1.250630
0.440000	-0.025000	0.000000
0.450000	-0.025800	0.000000
0.460000	-0.027100	-1.250630
0.470000	-0.028200	-1.250630
0.480000	-0.029300	-1.250630
0.490000	-0.030100	-1.250630
0.500000	-0.031100	-1.250630
0.510000	-0.032000	-1.250630
0.520000	-0.033500	0.000000
0.530000	-0.034200	-1.250630
0.540000	-0.035000	-1.250630
0.550000	-0.036500	-1.250630
0.560000	-0.037500	-1.250630
0.570000	-0.038100	-1.250630
0.580000	-0.038700	-1.250630
0.590000	-0.040200	-1.250630
0.600000	-0.041200	-1.250630
0.610000	-0.042000	-1.250630
0.620000	-0.043100	-1.250630
0.630000	-0.044000	-1.250630
0.640000	-0.045300	-1.250630
0.650000	-0.046700	-1.250630
0.660000	-0.047300	-1.250630
0.670000	-0.048100	-1.250630
