<Mach-1 File>
<INFO>
Date:	Tue, Mar 22, 2022
Time:	11:21:56.134
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.997990
Load Cell Offset:	-292.500000
Load Cell Calibration Date:	2022-03-22
Captured Images Folder:	09-a-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	0.000000
0.030000	0.000000	0.000000
0.040000	0.000000	0.000000
0.050000	0.000000	0.000000
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	1.247487
0.090000	0.000000	0.000000
0.100000	0.000000	0.000000
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	0.000000
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	0.000000
0.180000	0.000000	0.000000
0.190000	0.000000	0.000000
0.200000	0.000000	0.000000
0.210000	-0.000100	0.000000
0.220000	-0.001000	0.000000
0.230000	-0.003700	0.000000
0.240000	-0.005300	-1.247487
0.250000	-0.006100	0.000000
0.260000	-0.007100	0.000000
0.270000	-0.008300	0.000000
0.280000	-0.009400	0.000000
0.290000	-0.010500	0.000000
0.300000	-0.011400	0.000000
0.310000	-0.012400	-1.247487
0.320000	-0.013300	0.000000
0.330000	-0.014300	0.000000
0.340000	-0.015400	0.000000
0.350000	-0.016500	0.000000
0.360000	-0.017500	0.000000
0.370000	-0.018400	0.000000
0.380000	-0.019300	0.000000
0.390000	-0.020500	0.000000
0.400000	-0.021400	0.000000
0.410000	-0.022300	-1.247487
0.420000	-0.023400	-1.247487
0.430000	-0.024300	-1.247487
0.440000	-0.025400	0.000000
0.450000	-0.026500	0.000000
0.460000	-0.027300	0.000000
0.470000	-0.028200	-1.247487
0.480000	-0.029300	-1.247487
0.490000	-0.030400	0.000000
0.500000	-0.031300	0.000000
0.510000	-0.032400	0.000000
0.520000	-0.033400	0.000000
0.530000	-0.034500	-1.247487
0.540000	-0.035500	-1.247487
0.550000	-0.036100	-1.247487
0.560000	-0.037100	-1.247487
0.570000	-0.038400	-1.247487
0.580000	-0.039400	0.000000
0.590000	-0.040300	-1.247487
0.600000	-0.041200	-1.247487
0.610000	-0.042200	-1.247487
0.620000	-0.043600	-1.247487
0.630000	-0.044400	-1.247487
0.640000	-0.045400	-1.247487
0.650000	-0.046300	-1.247487
0.660000	-0.047300	-2.494975
0.670000	-0.048600	-1.247487
0.680000	-0.049300	-1.247487
