<Mach-1 File>
<INFO>
Date:	Tue, Mar 22, 2022
Time:	11:44:05.134
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.997990
Load Cell Offset:	-292.500000
Load Cell Calibration Date:	2022-03-22
Captured Images Folder:	09-i-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	1.247487
0.020000	0.000000	0.000000
0.030000	0.000000	0.000000
0.040000	0.000000	0.000000
0.050000	0.000000	-1.247487
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	-1.247487
0.100000	0.000000	-1.247487
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	0.000000
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	0.000000
0.180000	0.000000	0.000000
0.190000	0.000000	-1.247487
0.200000	0.000000	0.000000
0.210000	-0.000400	0.000000
0.220000	-0.002000	0.000000
0.230000	-0.004200	0.000000
0.240000	-0.005400	0.000000
0.250000	-0.006200	0.000000
0.260000	-0.007200	0.000000
0.270000	-0.008200	0.000000
0.280000	-0.009200	-1.247487
0.290000	-0.010300	-1.247487
0.300000	-0.011200	0.000000
0.310000	-0.012200	0.000000
0.320000	-0.013000	0.000000
0.330000	-0.014400	0.000000
0.340000	-0.015400	0.000000
0.350000	-0.016500	0.000000
0.360000	-0.017100	0.000000
0.370000	-0.018100	0.000000
0.380000	-0.019500	0.000000
0.390000	-0.020300	-1.247487
0.400000	-0.021200	-1.247487
0.410000	-0.022000	-1.247487
0.420000	-0.023200	0.000000
0.430000	-0.024400	0.000000
0.440000	-0.025300	0.000000
0.450000	-0.026300	0.000000
0.460000	-0.027100	0.000000
0.470000	-0.028100	0.000000
0.480000	-0.029300	0.000000
0.490000	-0.030200	-1.247487
0.500000	-0.031000	0.000000
0.510000	-0.032100	0.000000
0.520000	-0.033300	-1.247487
0.530000	-0.034300	-1.247487
0.540000	-0.035100	0.000000
0.550000	-0.036100	0.000000
0.560000	-0.037000	0.000000
0.570000	-0.038100	0.000000
0.580000	-0.039500	-1.247487
0.590000	-0.040300	0.000000
0.600000	-0.041200	0.000000
0.610000	-0.042300	0.000000
0.620000	-0.043300	-1.247487
0.630000	-0.044300	-1.247487
0.640000	-0.045300	0.000000
0.650000	-0.046200	0.000000
0.660000	-0.047100	0.000000
0.670000	-0.048100	0.000000
0.680000	-0.049300	0.000000
0.690000	-0.050300	0.000000
0.700000	-0.051000	-1.247487
0.710000	-0.052100	-1.247487
0.720000	-0.053500	-1.247487
0.730000	-0.054400	-1.247487
0.740000	-0.055400	-1.247487
0.750000	-0.056100	-1.247487
0.760000	-0.057000	-1.247487
0.770000	-0.058000	-1.247487
0.780000	-0.059000	-1.247487
0.790000	-0.060100	-1.247487
0.800000	-0.061100	0.000000
0.810000	-0.062100	0.000000
0.820000	-0.063100	-1.247487
0.830000	-0.064300	-1.247487
0.840000	-0.065300	-1.247487
0.850000	-0.066300	-1.247487
0.860000	-0.067200	-1.247487
0.870000	-0.068200	-1.247487
0.880000	-0.069300	-1.247487
0.890000	-0.070200	-1.247487
0.900000	-0.071400	-1.247487
0.910000	-0.072300	0.000000
0.920000	-0.073100	0.000000
0.930000	-0.074300	-1.247487
0.940000	-0.075400	-1.247487
0.950000	-0.076400	-1.247487
0.960000	-0.077200	0.000000
0.970000	-0.078200	0.000000
0.980000	-0.079100	-1.247487
0.990000	-0.080300	-1.247487
1.000000	-0.081400	-1.247487
1.010000	-0.082200	0.000000
1.020000	-0.083300	0.000000
1.030000	-0.084200	-1.247487
1.040000	-0.085200	-2.494975
1.050000	-0.086200	-1.247487
1.060000	-0.087300	-1.247487
1.070000	-0.088200	-1.247487
1.080000	-0.089200	-1.247487
1.090000	-0.090300	-1.247487
1.100000	-0.091200	0.000000
1.110000	-0.092100	0.000000
1.120000	-0.093300	-1.247487
1.130000	-0.094300	-1.247487
1.140000	-0.095300	-1.247487
1.150000	-0.096200	-1.247487
1.160000	-0.097000	-1.247487
1.170000	-0.098200	-1.247487
1.180000	-0.099700	-2.494975
1.190000	-0.100400	-2.494975
1.200000	-0.101000	-2.494975
1.210000	-0.101900	-1.247487
1.220000	-0.103100	-1.247487
1.230000	-0.104200	-1.247487
1.240000	-0.105200	0.000000
1.250000	-0.106000	0.000000
1.260000	-0.107100	0.000000
1.270000	-0.108300	-1.247487
1.280000	-0.109300	-2.494975
1.290000	-0.110300	-2.494975
1.300000	-0.111100	-1.247487
1.310000	-0.112200	-1.247487
1.320000	-0.113000	-1.247487
1.330000	-0.114300	-2.494975
1.340000	-0.115400	-2.494975
1.350000	-0.116300	-2.494975
1.360000	-0.117200	-2.494975
1.370000	-0.118200	-1.247487
1.380000	-0.119100	-1.247487
1.390000	-0.120000	-1.247487
1.400000	-0.121300	-1.247487
1.410000	-0.122000	-1.247487
1.420000	-0.122900	-2.494975
1.430000	-0.124600	-2.494975
1.440000	-0.125200	-1.247487
1.450000	-0.126100	-1.247487
1.460000	-0.127000	-1.247487
1.470000	-0.128200	-1.247487
1.480000	-0.129500	-2.494975
1.490000	-0.130500	-2.494975
1.500000	-0.131600	-2.494975
1.510000	-0.132400	-2.494975
1.520000	-0.132900	-2.494975
1.530000	-0.133700	-2.494975
1.540000	-0.134900	-2.494975
1.550000	-0.136500	-2.494975
1.560000	-0.137100	-2.494975
1.570000	-0.138100	-2.494975
1.580000	-0.139200	-2.494975
1.590000	-0.140300	-2.494975
1.600000	-0.141100	-1.247487
1.610000	-0.142700	-1.247487
1.620000	-0.143900	-1.247487
1.630000	-0.144300	-1.247487
1.640000	-0.144800	-2.494975
1.650000	-0.145900	-2.494975
1.660000	-0.147500	-2.494975
1.670000	-0.148200	-3.742462
1.680000	-0.148900	-3.742462
1.690000	-0.150100	-2.494975
1.700000	-0.151000	-2.494975
1.710000	-0.152100	-2.494975
1.720000	-0.153200	-2.494975
1.730000	-0.154700	-2.494975
1.740000	-0.155500	-1.247487
1.750000	-0.156300	-2.494975
1.760000	-0.157000	-2.494975
1.770000	-0.158000	-2.494975
1.780000	-0.159400	-2.494975
1.790000	-0.160400	-1.247487
1.800000	-0.161300	-1.247487
1.810000	-0.162300	-2.494975
1.820000	-0.163000	-2.494975
1.830000	-0.164100	-2.494975
1.840000	-0.165000	-2.494975
1.850000	-0.166100	-2.494975
1.860000	-0.167000	-2.494975
1.870000	-0.168200	-2.494975
1.880000	-0.169500	-2.494975
1.890000	-0.170500	-2.494975
1.900000	-0.171200	-2.494975
1.910000	-0.172100	-2.494975
1.920000	-0.173200	-2.494975
1.930000	-0.174500	-2.494975
1.940000	-0.175300	-2.494975
1.950000	-0.176100	-3.742462
1.960000	-0.177200	-3.742462
1.970000	-0.178300	-3.742462
1.980000	-0.179200	-2.494975
1.990000	-0.180200	-2.494975
2.000000	-0.181200	-2.494975
2.010000	-0.182200	-2.494975
2.020000	-0.183300	-2.494975
2.030000	-0.184400	-3.742462
2.040000	-0.185400	-3.742462
2.050000	-0.186300	-3.742462
2.060000	-0.187100	-2.494975
2.070000	-0.188000	-2.494975
2.080000	-0.189200	-2.494975
2.090000	-0.190400	-2.494975
2.100000	-0.191000	-3.742462
2.110000	-0.191900	-3.742462
2.120000	-0.193000	-3.742462
2.130000	-0.194500	-3.742462
2.140000	-0.196000	-3.742462
2.150000	-0.196600	-3.742462
2.160000	-0.197200	-3.742462
2.170000	-0.198100	-3.742462
2.180000	-0.199100	-3.742462
2.190000	-0.200200	-3.742462
2.200000	-0.201000	-3.742462
2.210000	-0.202200	-3.742462
2.220000	-0.203100	-3.742462
2.230000	-0.203800	-3.742462
2.240000	-0.204800	-3.742462
2.250000	-0.206300	-3.742462
2.260000	-0.207300	-3.742462
2.270000	-0.208200	-3.742462
2.280000	-0.209300	-3.742462
2.290000	-0.210100	-3.742462
2.300000	-0.211100	-3.742462
2.310000	-0.212000	-2.494975
2.320000	-0.213200	-2.494975
2.330000	-0.214800	-3.742462
2.340000	-0.215400	-3.742462
2.350000	-0.216100	-3.742462
2.360000	-0.217000	-3.742462
2.370000	-0.218500	-3.742462
2.380000	-0.219300	-4.989950
2.390000	-0.220000	-3.742462
2.400000	-0.220900	-3.742462
2.410000	-0.222000	-3.742462
2.420000	-0.223300	-3.742462
2.430000	-0.224400	-3.742462
2.440000	-0.225200	-3.742462
2.450000	-0.226100	-3.742462
2.460000	-0.227100	-3.742462
2.470000	-0.228200	-4.989950
2.480000	-0.229500	-4.989950
2.490000	-0.230600	-3.742462
2.500000	-0.231100	-2.494975
2.510000	-0.231900	-2.494975
2.520000	-0.233100	-3.742462
2.530000	-0.234300	-3.742462
2.540000	-0.235400	-3.742462
2.550000	-0.236200	-3.742462
2.560000	-0.237100	-3.742462
2.570000	-0.238100	-3.742462
2.580000	-0.239000	-3.742462
2.590000	-0.239900	-2.494975
2.600000	-0.241000	-3.742462
2.610000	-0.242700	-4.989950
2.620000	-0.243200	-3.742462
2.630000	-0.244100	-3.742462
2.640000	-0.245300	-3.742462
2.650000	-0.246300	-3.742462
2.660000	-0.247400	-4.989950
2.670000	-0.248300	-4.989950
2.680000	-0.249100	-3.742462
2.690000	-0.250300	-3.742462
2.700000	-0.251300	-3.742462
2.710000	-0.252100	-3.742462
2.720000	-0.253100	-3.742462
2.730000	-0.254200	-3.742462
2.740000	-0.255200	-3.742462
2.750000	-0.256100	-3.742462
2.760000	-0.256900	-3.742462
2.770000	-0.258700	-3.742462
2.780000	-0.259800	-3.742462
2.790000	-0.260300	-3.742462
2.800000	-0.260800	-3.742462
2.810000	-0.261600	-3.742462
2.820000	-0.263300	-4.989950
2.830000	-0.264900	-4.989950
2.840000	-0.265400	-3.742462
2.850000	-0.266000	-3.742462
2.860000	-0.266900	-3.742462
2.870000	-0.268300	-3.742462
2.880000	-0.269200	-4.989950
2.890000	-0.270100	-4.989950
2.900000	-0.271300	-4.989950
2.910000	-0.272300	-4.989950
2.920000	-0.273300	-4.989950
2.930000	-0.274200	-4.989950
2.940000	-0.275300	-4.989950
2.950000	-0.276100	-4.989950
2.960000	-0.277000	-4.989950
2.970000	-0.278100	-3.742462
2.980000	-0.279300	-4.989950
2.990000	-0.280300	-4.989950
3.000000	-0.281200	-4.989950
3.010000	-0.282100	-4.989950
3.020000	-0.282900	-3.742462
3.030000	-0.284000	-3.742462
3.040000	-0.285400	-3.742462
3.050000	-0.286500	-3.742462
3.060000	-0.287400	-4.989950
3.070000	-0.288100	-4.989950
3.080000	-0.289100	-4.989950
3.090000	-0.290200	-4.989950
3.100000	-0.291600	-4.989950
3.110000	-0.292600	-4.989950
3.120000	-0.293200	-4.989950
3.130000	-0.293900	-3.742462
3.140000	-0.294900	-3.742462
3.150000	-0.296200	-3.742462
3.160000	-0.297000	-3.742462
3.170000	-0.298300	-4.989950
3.180000	-0.299500	-4.989950
3.190000	-0.300100	-4.989950
3.200000	-0.301000	-4.989950
3.210000	-0.302000	-4.989950
3.220000	-0.303100	-3.742462
3.230000	-0.304200	-4.989950
3.240000	-0.305400	-4.989950
3.250000	-0.306100	-4.989950
3.260000	-0.307000	-4.989950
3.270000	-0.308400	-4.989950
3.280000	-0.309400	-4.989950
3.290000	-0.310200	-3.742462
3.300000	-0.311100	-3.742462
3.310000	-0.312200	-3.742462
3.320000	-0.313100	-3.742462
3.330000	-0.314200	-4.989950
3.340000	-0.315500	-4.989950
3.350000	-0.316300	-4.989950
3.360000	-0.317300	-3.742462
3.370000	-0.318500	-3.742462
3.380000	-0.319500	-4.989950
3.390000	-0.320300	-4.989950
3.400000	-0.321300	-4.989950
3.410000	-0.322200	-4.989950
3.420000	-0.323200	-4.989950
3.430000	-0.324100	-4.989950
3.440000	-0.325000	-4.989950
3.450000	-0.326200	-4.989950
3.460000	-0.327300	-4.989950
3.470000	-0.328300	-4.989950
3.480000	-0.329300	-4.989950
3.490000	-0.330100	-4.989950
3.500000	-0.331000	-4.989950
3.510000	-0.332500	-4.989950
3.520000	-0.333400	-4.989950
3.530000	-0.334200	-4.989950
3.540000	-0.335100	-4.989950
3.550000	-0.336100	-4.989950
3.560000	-0.337200	-4.989950
3.570000	-0.338300	-4.989950
3.580000	-0.339200	-4.989950
3.590000	-0.340200	-4.989950
3.600000	-0.341200	-3.742462
3.610000	-0.342300	-4.989950
3.620000	-0.343300	-4.989950
3.630000	-0.344300	-4.989950
3.640000	-0.345300	-4.989950
3.650000	-0.346200	-6.237437
3.660000	-0.347200	-6.237437
3.670000	-0.348100	-4.989950
3.680000	-0.349200	-4.989950
3.690000	-0.350200	-4.989950
3.700000	-0.351200	-4.989950
3.710000	-0.352200	-4.989950
3.720000	-0.353200	-4.989950
3.730000	-0.354300	-4.989950
3.740000	-0.355300	-4.989950
3.750000	-0.356200	-4.989950
3.760000	-0.357200	-4.989950
3.770000	-0.358300	-3.742462
3.780000	-0.359400	-4.989950
3.790000	-0.360200	-4.989950
3.800000	-0.361200	-4.989950
