<Mach-1 File>
<INFO>
Date:	Tue, Mar 22, 2022
Time:	09:55:25.734
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.997990
Load Cell Offset:	-292.500000
Load Cell Calibration Date:	2022-03-22
Captured Images Folder:	09-p-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	0.000000
0.030000	0.000000	-1.247487
0.040000	0.000000	0.000000
0.050000	0.000000	0.000000
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	0.000000
0.100000	0.000000	0.000000
0.110000	0.000000	0.000000
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	0.000000
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	0.000000
0.180000	0.000000	0.000000
0.190000	0.000000	0.000000
0.200000	0.000000	0.000000
0.210000	-0.000600	0.000000
0.220000	-0.002200	0.000000
0.230000	-0.004700	0.000000
0.240000	-0.005700	0.000000
0.250000	-0.006300	0.000000
0.260000	-0.007200	0.000000
0.270000	-0.008300	0.000000
0.280000	-0.009600	0.000000
0.290000	-0.010800	0.000000
0.300000	-0.011600	0.000000
0.310000	-0.012400	0.000000
0.320000	-0.013400	0.000000
0.330000	-0.014500	0.000000
0.340000	-0.015700	-1.247487
0.350000	-0.016700	0.000000
0.360000	-0.017600	0.000000
0.370000	-0.018600	0.000000
0.380000	-0.019500	0.000000
0.390000	-0.020400	0.000000
0.400000	-0.021700	0.000000
0.410000	-0.022600	0.000000
0.420000	-0.023700	0.000000
0.430000	-0.024600	0.000000
0.440000	-0.025600	-1.247487
0.450000	-0.026600	-1.247487
0.460000	-0.027700	-1.247487
0.470000	-0.028600	-1.247487
0.480000	-0.029700	-1.247487
0.490000	-0.030500	-1.247487
0.500000	-0.031500	-1.247487
0.510000	-0.032600	-1.247487
0.520000	-0.033600	0.000000
0.530000	-0.034600	0.000000
0.540000	-0.035400	0.000000
0.550000	-0.036500	0.000000
0.560000	-0.037600	0.000000
0.570000	-0.038800	0.000000
0.580000	-0.039600	-1.247487
0.590000	-0.040500	-1.247487
0.600000	-0.041500	-1.247487
0.610000	-0.042600	-1.247487
0.620000	-0.043700	-1.247487
0.630000	-0.044600	-1.247487
0.640000	-0.045400	-1.247487
0.650000	-0.046400	-1.247487
0.660000	-0.047700	-1.247487
0.670000	-0.048600	-1.247487
0.680000	-0.049400	-1.247487
