<Mach-1 File>
<INFO>
Date:	Tue, Mar 22, 2022
Time:	11:09:16.534
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.997990
Load Cell Offset:	-292.500000
Load Cell Calibration Date:	2022-03-22
Captured Images Folder:	09-s-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	1.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	-1.247487
0.030000	0.000000	0.000000
0.040000	0.000000	0.000000
0.050000	0.000000	0.000000
0.060000	0.000000	0.000000
0.070000	0.000000	0.000000
0.080000	0.000000	0.000000
0.090000	0.000000	0.000000
0.100000	0.000000	-1.247487
0.110000	0.000000	-1.247487
0.120000	0.000000	-1.247487
0.130000	0.000000	-1.247487
0.140000	0.000000	-1.247487
0.150000	0.000000	0.000000
0.160000	0.000000	0.000000
0.170000	0.000000	0.000000
0.180000	-0.000100	0.000000
0.190000	-0.004500	0.000000
0.200000	-0.014700	0.000000
0.210000	-0.022900	0.000000
0.220000	-0.034600	0.000000
0.230000	-0.043900	-1.247487
0.240000	-0.054600	-1.247487
0.250000	-0.065200	-1.247487
0.260000	-0.074200	-1.247487
0.270000	-0.084800	-1.247487
0.280000	-0.094400	-1.247487
0.290000	-0.104400	-2.494975
0.300000	-0.114800	-2.494975
0.310000	-0.124100	-2.494975
0.320000	-0.135000	-3.742462
0.330000	-0.144200	-3.742462
0.340000	-0.155100	-3.742462
0.350000	-0.164900	-3.742462
0.360000	-0.174700	-3.742462
0.370000	-0.184400	-3.742462
0.380000	-0.194900	-4.989950
0.390000	-0.204700	-4.989950
0.400000	-0.214700	-6.237437
0.410000	-0.224500	-4.989950
0.420000	-0.234800	-4.989950
0.430000	-0.243600	-4.989950
0.440000	-0.254900	-6.237437
0.450000	-0.264200	-7.484925
0.460000	-0.274400	-7.484925
0.470000	-0.284900	-7.484925
0.480000	-0.294500	-7.484925
0.490000	-0.305000	-7.484925
0.500000	-0.314100	-7.484925
0.510000	-0.324600	-7.484925
0.520000	-0.334800	-7.484925
0.530000	-0.344100	-7.484925
0.540000	-0.354200	-7.484925
0.550000	-0.364300	-8.732412
0.560000	-0.374700	-8.732412
0.570000	-0.384800	-9.979899
0.580000	-0.394100	-9.979899
0.590000	-0.405800	-9.979899
0.600000	-0.413900	-9.979899
0.610000	-0.425200	-9.979899
0.620000	-0.434000	-9.979899
0.630000	-0.444600	-9.979899
0.640000	-0.454400	-8.732412
0.650000	-0.464000	-8.732412
0.660000	-0.474900	-9.979899
