% Model:              axi_IRR_silicone_seul_sarah.mph
% Version:            COMSOL 6.0.0.405
% Date:               Feb 14 2023, 13:43
% Dimension:          1
% Nodes:              388
% Expressions:        1
% Description:        Point graph
% Time (s)                Displacement magnitude
0                         0
0.25                      0
0.5                       0.0101273083161219
0.75                      0.025181595963925153
1                         0.040241104616785414
1.25                      0.05530163038472396
1.5                       0.07036174344864173
1.75                      0.08542198490682533
2                         0.10048222987144773
2.25                      0.11554245021290213
2.5                       0.13060268468957573
2.75                      0.14566291990550947
3                         0.16072315032811688
3.25                      0.17578338131065205
3.5                       0.19084361268124547
3.75                      0.20590384546157947
4                         0.22096407936466803
4.25                      0.2360243040452974
4.5                       0.251084518048651
4.75                      0.2661447281008627
5                         0.28120493377636274
5.25                      0.29626513137977883
5.5                       0.31132531937484453
5.75                      0.3263854984417094
6                         0.3414457144889809
6.25                      0.35650593430728167
6.5                       0.37156615817998834
6.75                      0.38662637615687123
7                         0.40168659232631854
7.25                      0.4167467663541302
7.5                       0.43180692343034766
7.75                      0.44686708555228616
8                         0.4619272447577651
8.25                      0.476987403107481
8.5                       0.4799994303966406
8.75                      0.4799994269594275
9                         0.4799994268663104
9.25                      0.47999942568800147
9.5                       0.4799994234640084
9.75                      0.4799994223072101
10                        0.47999942336248747
10.25                     0.47999942497499754
10.5                      0.47999942508718024
10.75                     0.47999942488988645
11                        0.4799994248417975
11.25                     0.47999942474486296
11.5                      0.4799994248073418
11.75                     0.4799994249740618
12                        0.47999942517125493
12.25                     0.4799994253363465
12.5                      0.4799994254489817
12.75                     0.47999942547219804
13                        0.4799994254566499
13.25                     0.4799994259761432
13.5                      0.47999942664830336
13.75                     0.4799994274731304
14                        0.4799994284506243
14.25                     0.47999942919074556
14.5                      0.4799994296552678
14.75                     0.4799994300308437
15                        0.47999943031747294
15.25                     0.4799994305378945
15.5                      0.4799994309065824
15.75                     0.47999943127696576
16                        0.4799994316490444
16.25                     0.4799994320228184
16.5                      0.47999943239828796
16.75                     0.47999943277545276
17                        0.479999433154313
17.25                     0.4799994335348686
17.5                      0.47999943391523175
17.75                     0.47999943426927083
18                        0.47999943461912903
18.25                     0.47999943496480624
18.5                      0.4799994353063025
18.75                     0.4799994356436179
19                        0.4799994359767525
19.25                     0.479999436305706
19.5                      0.4799994366304787
19.75                     0.4799994369511886
20                        0.4799994372716258
20.25                     0.47999943758867897
20.5                      0.4799994379023484
20.75                     0.47999943821263386
21                        0.47999943851953547
21.25                     0.4799994388230532
21.5                      0.4799994391231871
21.75                     0.47999943941993706
22                        0.47999943971330317
22.25                     0.47999944000328526
22.5                      0.4799994402898836
22.75                     0.4799994405730981
23                        0.47999944085292867
23.25                     0.47999944112937526
23.5                      0.47999944140243817
23.75                     0.47999944167211706
24                        0.47999944193841215
24.25                     0.4799994422013232
24.5                      0.4799994424631437
24.75                     0.47999944272193007
25                        0.47999944297758435
25.25                     0.47999944323010657
25.5                      0.47999944347949675
25.75                     0.4799994437257548
26                        0.479999443968881
26.25                     0.479999444208875
26.5                      0.47999944444573694
26.75                     0.4799994446794669
27                        0.47999944491006474
27.25                     0.4799994451375306
27.5                      0.47999944536186434
27.75                     0.4799994455830662
28                        0.4799994458011358
28.25                     0.4799994460160734
28.5                      0.4799994462278791
28.75                     0.4799994464365526
29                        0.4799994466286154
29.25                     0.4799994468142101
29.5                      0.47999944699505864
29.75                     0.47999944717116133
30                        0.4799994473425182
30.25                     0.4799994475091291
30.5                      0.47999944767099406
30.75                     0.4799994478281131
31                        0.47999944798048627
31.25                     0.47999944812811357
31.5                      0.47999944827099483
31.75                     0.4799994484091303
32                        0.47999944854251975
32.25                     0.4799994486711634
32.5                      0.47999944879506096
32.75                     0.4799994489142128
33                        0.4799994490286186
33.25                     0.4799994491382785
33.5                      0.479999449257833
33.75                     0.4799994493779177
34                        0.47999944949518225
34.25                     0.4799994496096264
34.5                      0.47999944972125014
34.75                     0.47999944983005355
35                        0.4799994499360367
35.25                     0.4799994500391995
35.5                      0.4799994501395419
35.75                     0.4799994502370641
36                        0.47999945033176583
36.25                     0.4799994504236472
36.5                      0.47999945051270837
36.75                     0.47999945059894916
